,標準代號,第8次 小業別,擴大書審純益率,所得額標準,毛利率,費用率,淨利率
436,,被動電子元件製造業,,,,,
437,2620--00,被動電子元件製造,6,8,26,16,10
438,107年度營利事業各業所得額暨同業利潤標準,,,,,,
439,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
440,,,,毛利率,費用率,淨利率,
441,,印刷電路板製造業,,,,,
442,2630--00,印刷電路板製造,6,8,24,14,10
443,,光電材料及元件製造業,,,,,
444,2641--00,液晶面板及其組件製造,6,10,25,14,11
445,,其他電子零組件製造業,,,,,
446,2691--11,記憶體模組製造,6,10,30,18,12
447,2691--12,主機卡(板)製造,6,10,30,18,12
448,2691--13,網路卡製造,6,10,30,18,12
449,2691--99,其他印刷電路板組件製造,6,10,30,18,12
450,2699--11,電子連接器(線)製造,6,8,23,13,10
451,2699--12,石英振盪器製造,6,8,23,13,10
452,2699--13,電子管製造,6,8,24,14,10
453,2699--99,其他未分類電子零組件製造,6,8,23,13,10
454,,電腦及其週邊設備製造業,,,,,
455,2711--00,電腦製造,6,8,27,17,10
456,2712--11,終端機製造,6,10,30,18,12
457,2712--12,顯示器製造,6,10,30,18,12
458,2719--11,讀卡機製造,6,10,30,18,12
459,2719--12,印表機、繪圖機製造,6,10,30,18,12
460,2719--13,磁碟機製造,6,10,30,18,12
461,2719--14,隨身碟製造,6,10,30,18,12
462,2719--15,掃瞄器製造,6,10,30,18,12
463,2719--17,光碟機、光碟燒錄器製造,6,10,30,18,12
464,2719--18,數位投影機製造,6,9,28,17,11
465,2719--19,鍵盤、滑鼠製造,6,10,30,18,12
466,2719--99,未分類其他電腦週邊設備製造,6,10,30,18,12
467,,通訊傳播設備製造業,,,,,
468,2721--12,有線電話機製造,6,9,28,17,11
469,2721--13,無線電話機製造,6,9,28,17,11
470,2729--11,數據機製造,6,9,28,17,11
471,2729--12,電話交換機製造,6,9,28,17,11
472,2729--13,廣播及電視發射設備製造,6,9,28,17,11
473,2729--14,無線電接收機製造,6,9,28,17,11
474,2729--15,區域網路及寬頻網路設備製造,6,9,28,17,11
475,2729--16,防盜、防災系統設備製造,6,8,27,17,10
476,2729--99,未分類其他通訊傳播設備製造,6,9,28,17,11
477,,視聽電子產品製造業,,,,,
478,2730--11,電視機製造,6,7,31,22,9
479,2730--12,錄放影機製造,6,9,25,14,11
480,2730--13,收錄放音機製造,6,8,32,22,10
481,2730--14,音響設備製造,6,9,28,17,11
482,2730--99,其他視聽電子產品製造,6,9,28,17,11
483,,資料儲存媒體製造業,,,,,
484,2740--11,磁條卡、硬式磁碟片製造,6,11,31,18,13
485,2740--13,空白光碟片製造,6,11,31,18,13
486,2740--14,空白唱片製造,6,9,24,12,12
487,,量測、導航、控制設備及鐘錶製造業,,,,,
488,2751--11,聲納、雷達系統、遙感探測設備製造,6,9,28,17,11
489,2751--12,衛星導航系統(GPS)設備製造,6,9,24,13,11
490,2751--13,物理量測儀器製造,6,9,24,13,11
491,2751--14,數值控制操作器製造,6,10,30,18,12
492,2751--15,計量及計數器製造,6,9,24,13,11
493,107年度營利事業各業所得額暨同業利潤標準,,,,,,
494,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
495,,,,,毛利率,費用率,淨利率
496,2751--99,其他量測、導航及控制設備製造,6,9,24,13,11
497,2752--00,鐘錶製造,6,9,22,11,11
498,,輻射及電子醫學設備製造業,,,,,
499,2760--00,輻射及電子醫學設備製造,6,8,21,11,10
500,,光學儀器及設備製造業,,,,,
501,2771--00,照相機製造,6,9,25,14,11
502,2779--11,光學元件製造,6,9,25,14,11
503,2779--99,未分類其他光學儀器及設備製造,6,9,25,14,11
504,,發電、輸電及配電機械製造業,,,,,
505,2810--11,電力變壓器製造,6,8,27,17,10
506,2810--12,電動機製造,6,11,35,23,12
507,2810--99,其他發電、輸電及配電機械製造,6,8,27,17,10
508,,電池製造業,,,,,
509,2820--11,一次電池製造,6,7,25,16,9
510,2820--12,二次電池製造,6,7,25,16,9
511,,電線及配線器材製造業,,,,,
512,2831--00,電線及電纜製造,6,6,25,18,7
513,2832--11,配線用開關、電插座製造,6,8,26,17,9
514,2832--99,其他配線器材製造,6,8,26,17,9
515,,照明設備及配備製造業,,,,,
516,2841--00,電燈泡及燈管製造,6,6,31,24,7
517,2842--11,檯燈製造,6,8,33,24,9
518,2842--12,美術燈製造,6,8,34,24,10
519,2842--13,閃光燈具製造,6,8,34,24,10
520,2842--14,聖誕裝飾燈製造,6,6,31,24,7
521,2842--15,手電筒製造,6,8,27,17,10
522,2842--99,其他照明器具製造,6,7,21,13,8
523,,家用電器製造業,,,,,
524,2851--11,家用冷氣機製造,6,7,28,19,9
525,2851--12,家用除濕器、加濕器製造,6,8,27,17,10
526,2859--11,電鬍刀、電髮器材製造,6,8,21,11,10
527,2859--12,"熱水器、排油煙機、瓦斯器具、烘碗機製造",6,8,26,17,9
528,2859--13,家用飲水機製造,6,7,30,22,8
529,2859--14,電熱器製造,6,8,28,18,10
530,2859--15,家用電冰箱製造,6,7,31,22,9
